Rowid_,VALUE,COUNT,WHRALL,LIFE_FORM,WHRNUM,WHRNAME,WHRTYPE,WHRSIZE,WHRDENSITY,WHR10NUM,WHR10NAME,WHR13NUM,WHR13NAME,SOURCE_NAME,SOURCE_YEAR
,77,7974,WFR5P,CONIFER,58,White Fir,WFR,5,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,79,15741,JUN4M,CONIFER,26,Juniper,JUN,4,M,30.000000000000000,Conifer,32,Conifer Woodland,CALVEG-NorthCoastNE,2007
,80,25524,MHC2D,CONIFER,35,Montane Hardwood-Conifer,MHC,2,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,81,15785,SCN4D,CONIFER,48,Subalpine Conifer,SCN,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,82,12780,KMC3S,CONIFER,27,Klamath Mixed Conifer,KMC,3,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,83,6164,JUN4D,CONIFER,26,Juniper,JUN,4,D,30.000000000000000,Conifer,32,Conifer Woodland,CALVEG-NorthCoastNE,2007
,84,133352,PPN4D,CONIFER,42,Ponderosa Pine,PPN,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,85,11073,DFR2M,CONIFER,14,Douglas Fir,DFR,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,86,9293,SCN3M,CONIFER,48,Subalpine Conifer,SCN,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,87,6335,DFR4S,CONIFER,14,Douglas Fir,DFR,4,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,88,46598,PPN5D,CONIFER,42,Ponderosa Pine,PPN,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,89,226558,LACXX,WATER,28,Lacustrine,LAC,X,X,90.000000000000000,Water,90,Water,CALVEG-NorthCoastNE,2007
,90,29150,DFR4P,CONIFER,14,Douglas Fir,DFR,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,91,32942,DFR3P,CONIFER,14,Douglas Fir,DFR,3,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,92,71660,MHW3P,HARDWOOD,36,Montane Hardwood,MHW,3,P,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,93,1676,SCN3D,CONIFER,48,Subalpine Conifer,SCN,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,94,38600,PPN3D,CONIFER,42,Ponderosa Pine,PPN,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,95,6977,PPN2P,CONIFER,42,Ponderosa Pine,PPN,2,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,96,187897,MHW3M,HARDWOOD,36,Montane Hardwood,MHW,3,M,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,97,1728,WFR5S,CONIFER,58,White Fir,WFR,5,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,98,3854,PPN2D,CONIFER,42,Ponderosa Pine,PPN,2,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,99,10196,WFR4S,CONIFER,58,White Fir,WFR,4,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,100,6268,PPN2M,CONIFER,42,Ponderosa Pine,PPN,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,101,6230,WFR2M,CONIFER,58,White Fir,WFR,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,102,22148,MHW2P,HARDWOOD,36,Montane Hardwood,MHW,2,P,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,103,4971,WFR3S,CONIFER,58,White Fir,WFR,3,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,104,41984,MHC3P,CONIFER,35,Montane Hardwood-Conifer,MHC,3,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,105,5409,WFR2P,CONIFER,58,White Fir,WFR,2,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,106,39460,MHC4P,CONIFER,35,Montane Hardwood-Conifer,MHC,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,107,2293,PPN2S,CONIFER,42,Ponderosa Pine,PPN,2,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,108,5349,PPN3S,CONIFER,42,Ponderosa Pine,PPN,3,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,109,8480,MHC2P,CONIFER,35,Montane Hardwood-Conifer,MHC,2,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,110,36048,MHW2M,HARDWOOD,36,Montane Hardwood,MHW,2,M,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,111,7048,KMC2S,CONIFER,27,Klamath Mixed Conifer,KMC,2,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,112,34549,PPN3P,CONIFER,42,Ponderosa Pine,PPN,3,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,113,47408,MHW2D,HARDWOOD,36,Montane Hardwood,MHW,2,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,114,34895,PPN3M,CONIFER,42,Ponderosa Pine,PPN,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,115,20217,MHW3S,HARDWOOD,36,Montane Hardwood,MHW,3,S,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,116,6760,MHW2S,HARDWOOD,36,Montane Hardwood,MHW,2,S,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,117,84592,PPN4M,CONIFER,42,Ponderosa Pine,PPN,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,118,337,MCHXX,SHRUB,32,Mixed Chaparral,MCH,X,X,70.000000000000000,Shrub,70,Shrub,CALVEG-NorthCoastNE/CALFIRE update,2007
,119,14576,PPN4P,CONIFER,42,Ponderosa Pine,PPN,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,120,11,MHC4D,CONIFER,35,Montane Hardwood-Conifer,MHC,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,121,1169,MHW4D,HARDWOOD,36,Montane Hardwood,MHW,4,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,122,8194,DFR2P,CONIFER,14,Douglas Fir,DFR,2,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,123,14218,DFR2D,CONIFER,14,Douglas Fir,DFR,2,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,124,25,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,125,196260,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,126,3867,KMC5S,CONIFER,27,Klamath Mixed Conifer,KMC,5,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,127,26416,SCN5D,CONIFER,48,Subalpine Conifer,SCN,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,128,21612,SCN5M,CONIFER,48,Subalpine Conifer,SCN,5,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,129,9085,MHW4S,HARDWOOD,36,Montane Hardwood,MHW,4,S,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,131,307,RDW4D,CONIFER,44,Redwood,RDW,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,1998
,132,5,BARXX,BARREN/OTHER,6,Barren,BAR,X,X,20.000000000000000,Barren/Other,20,Barren/Other,CALVEG-NorthCoastNW,2008
,134,34,URBXX,URBAN,53,Urban,URB,X,X,80.000000000000000,Urban,80,Urban,CALVEG-NorthCoastNW,1998
,135,219,URBXX,URBAN,53,Urban,URB,X,X,80.000000000000000,Urban,80,Urban,CALVEG-NorthCoastNW,2009
,136,10054,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,1998
,137,551,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,2009
,138,22842,MHW5D,HARDWOOD,36,Montane Hardwood,MHW,5,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,139,1270,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,1994
,140,167695,PASXX,HERBACEOUS,72,Pasture,PAS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,2007
,141,27567,MHC5M,CONIFER,35,Montane Hardwood-Conifer,MHC,5,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,142,523944,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,143,156357,CSCXX,SHRUB,13,Coastal Scrub,CSC,X,X,70.000000000000000,Shrub,70,Shrub,CALVEG-NorthCoastNW,2007
,144,240,RDW5D,CONIFER,44,Redwood,RDW,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,1998
,145,666723,RDW5D,CONIFER,44,Redwood,RDW,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,146,362565,RDW4D,CONIFER,44,Redwood,RDW,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,147,876404,MHC4D,CONIFER,35,Montane Hardwood-Conifer,MHC,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,148,19312,DFR2M,CONIFER,14,Douglas Fir,DFR,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,149,92067,MRI4D,HARDWOOD,37,Montane Riparian,MRI,4,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,151,106067,MHC5D,CONIFER,35,Montane Hardwood-Conifer,MHC,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,1998
,152,1158305,DFR4D,CONIFER,14,Douglas Fir,DFR,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,153,1864781,DFR5D,CONIFER,14,Douglas Fir,DFR,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,154,34863,RDW5M,CONIFER,44,Redwood,RDW,5,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,155,77,MRI4D,HARDWOOD,37,Montane Riparian,MRI,4,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,1998
,156,314664,DFR3D,CONIFER,14,Douglas Fir,DFR,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,158,126039,RDW3D,CONIFER,44,Redwood,RDW,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,159,9555,DFR2S,CONIFER,14,Douglas Fir,DFR,2,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,160,30066,MARXX,WATER,79,Marsh,MAR,X,X,90.000000000000000,Water,90,Water,CALVEG-NorthCoastNW,2007
,161,492389,AGSXX,HERBACEOUS,3,Annual Grassland,AGS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNW,2007
,162,49,MRI5D,HARDWOOD,37,Montane Riparian,MRI,5,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,1998
,163,342240,MHC3D,CONIFER,35,Montane Hardwood-Conifer,MHC,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,164,19810,MHW1D,HARDWOOD,36,Montane Hardwood,MHW,1,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,165,119800,BARXX,BARREN/OTHER,6,Barren,BAR,X,X,20.000000000000000,Barren/Other,20,Barren/Other,CALVEG-NorthCoastNW,2007
,166,5900,MRI4S,HARDWOOD,37,Montane Riparian,MRI,4,S,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,168,332559,MCPXX,SHRUB,34,Montane Chaparral,MCP,X,X,70.000000000000000,Shrub,70,Shrub,CALVEG-NorthCoastNW,2007
,169,10786,MRI5D,HARDWOOD,37,Montane Riparian,MRI,5,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,170,85435,CRPXX,AGRICULTURE,60,Cropland,CRP,X,X,10.000000000000000,Agriculture,10,Agriculture,CALVEG-NorthCoastNW,2007
,171,1725,WFR2S,CONIFER,58,White Fir,WFR,2,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,172,5416,MRI4P,HARDWOOD,37,Montane Riparian,MRI,4,P,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,173,1522,MRI1M,HARDWOOD,37,Montane Riparian,MRI,1,M,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,174,1269,MRI1P,HARDWOOD,37,Montane Riparian,MRI,1,P,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,175,191833,MHW3D,HARDWOOD,36,Montane Hardwood,MHW,3,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,176,58925,MHC4M,CONIFER,35,Montane Hardwood-Conifer,MHC,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
,177,69994,MHW5D,HARDWOOD,36,Montane Hardwood,MHW,5,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,178,687,MRI1S,HARDWOOD,37,Montane Riparian,MRI,1,S,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,179,7217,MHW4S,HARDWOOD,36,Montane Hardwood,MHW,4,S,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNW,2007
,180,14219,MHC4P,CONIFER,35,Montane Hardwood-Conifer,MHC,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNW,2007
