"","CWHRNAME","CWHRTYPE","prop","use_avail"
"41","Alkali Desert Scrub","ASC",0.00335679183891966,"avail"
"42","Deciduous Orchard","DOR",0.0139378507002437,"avail"
"43","Vineyard","VIN",0.00418446947582999,"avail"
"44","Alpine-Dwarf Shrub","ADS",6.72554864469755e-05,"avail"
"45","Saline Emergent Wetland","SEW",0.000654452755386348,"avail"
"46","Fresh Emergent Wetland","FEW",0.00334937524665442,"avail"
"47","Valley Foothill Riparian","VRI",0.00276738013721863,"avail"
"48","Water","WAT",0.00410780792260491,"avail"
"49","Evergreen Orchard","EOR",0.00106410172645755,"avail"
"50","Blue Oak-Foothill Pine","BOP",0.0166348048456963,"avail"
"51","Valley Oak Woodland","VOW",0.00106496640972638,"avail"
"52","Rice","RIC",0.0176710961086455,"avail"
"53","Blue Oak Woodland","BOW",0.0320185536002888,"avail"
"54","Eucalyptus","EUC",0.000378562553064663,"avail"
"55","Desert Riparian","DRI",5.25136912050703e-06,"avail"
"56","Undetermined Shrub","CHP",0.000303496797417041,"avail"
"57","Undetermined Conifer","CON",0.000132507438490545,"avail"
"58","Undetermined Hardwood","HDW",3.61339187140644e-06,"avail"
"59","Desert Scrub","DSC",1.26539014951977e-07,"avail"
"60","Annual Grassland","AGS",0.154494382022472,"use"
"61","Barren","BAR",0.0702247191011236,"use"
"62","Bitterbrush","BBR",0.00561797752808989,"use"
"63","Blue Oak-Foothill Pine","BOP",0.00280898876404494,"use"
"64","Closed-Cone Pine-Cypress","CPC",0.00280898876404494,"use"
"65","Cropland","CRP",0.0308988764044944,"use"
"66","Coastal Scrub","CSC",0.0421348314606742,"use"
"67","Douglas Fir","DFR",0.0702247191011236,"use"
"68","Deciduous Orchard","DOR",0.00280898876404494,"use"
"69","Eastside Pine","EPN",0.0449438202247191,"use"
"70","Irrigated Hayfield","IRH",0.00842696629213483,"use"
"71","Jeffrey Pine","JPN",0.00842696629213483,"use"
"72","Juniper","JUN",0.0112359550561798,"use"
"73","Klamath Mixed Conifer","KMC",0.00842696629213483,"use"
"74","Lacustrine","LAC",0.00842696629213483,"use"
"75","Lodgepole Pine","LPN",0.00842696629213483,"use"
"76","Low Sage","LSG",0.00280898876404494,"use"
"77","Marsh","MAR",0.00561797752808989,"use"
"78","Mixed Chaparral","MCH",0.00280898876404494,"use"
"79","Montane Chaparral","MCP",0.0196629213483146,"use"
"80","Montane Hardwood-Conifer","MHC",0.0421348314606742,"use"
"81","Montane Hardwood","MHW",0.0196629213483146,"use"
"82","Montane Riparian","MRI",0.0252808988764045,"use"
"83","Pasture","PAS",0.0280898876404494,"use"
"84","Perennial Grassland","PGS",0.0112359550561798,"use"
"85","Ponderosa Pine","PPN",0.0112359550561798,"use"
"86","Redwood","RDW",0.0617977528089888,"use"
"87","Red Fir","RFR",0.0140449438202247,"use"
"88","Riverine","RIV",0.0140449438202247,"use"
"89","Sagebrush","SGB",0.0365168539325843,"use"
"90","Sierran Mixed Conifer","SMC",0.101123595505618,"use"
"91","Urban","URB",0.0898876404494382,"use"
"92","Vineyard","VIN",0.00280898876404494,"use"
"93","Valley Foothill Riparian","VRI",0.00561797752808989,"use"
"94","White Fir","WFR",0.0168539325842697,"use"
"95","Wet Meadow","WTM",0.00842696629213483,"use"
